	Opt.	CR	FP
X^0	4	32	10
X^1	3	34	14
X^2	4	31	15
X^3	1	24	8
X^4	1	20	6
X^5	1	20	6
X^6	1	18	5
X^7	1	15	3
X^8	0	18	0

X^0	3	202	97
X^1	3	200	97
X^2	3	199	99
X^3	3	194	97
X^4	1	190	97
X^5	5	193	102
X^6	1	181	95
X^7	1	99	95
X^8	1	102	82

X^0	6	404	194
X^1	5	402	191
X^2	1	394	187
X^3	4	391	192
X^4	1	382	189
X^5	1	381	193
X^6	1	364	208
X^7	1	189	176
X^8	1	209	175

X^0	5	639	324
X^1	5	593	296
X^2	5	503	248
X^3	5	457	205
X^4	5	430	209
X^5	5	387	182
X^6	5	353	169
X^7	2	191	188
X^8	3	314	229
